sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Kreissparkasse Gotha,Thüringen,0.340869759,439 T. €,219.5,"219,5 T. €","1,2 Mrd. €",278,278.0,2
Kyffhäusersparkasse Artern-Sondershausen,Thüringen,0.232710142,443 T. €,221.5,"221,5 T. €",900 Mio. €,224,224.0,2
Kreissparkasse Weilburg,Hessen,0.26699787,445 T. €,222.5,"222,5 T. €","964,1 Mio. €",246,246.0,2
Vereinigte Sparkassen Gunzenhausen,Bayern,0.1993642064,448 T. €,224.0,224 T. €,"754,1 Mio. €",191,191.0,2
Kreissparkasse Schlüchtern,Hessen,0.137869321,449 T. €,224.5,"224,5 T. €",495 Mio. €,132,132.0,2
Stadtsparkasse Bad Honnef,Nordrhein-Westfalen,0.13285086,"449,8 T. €",224.9,"224,9 T. €","516,4 Mio. €",118,118.0,2
Kreissparkasse Saale-Orla,Thüringen,0.232345981,452 T. €,226.0,226 T. €,"871,1 Mio. €",261,261.0,2
Stadtsparkasse Delbrück,Nordrhein-Westfalen,0.0794589147,453 T. €,226.5,"226,5 T. €","296,1 Mio. €",89,89.0,2
Stadt- und Kreissparkasse Moosburg,Bayern,0.193138035,456 T. €,228.0,228 T. €,"606,1 Mio. €",192,192.0,2
Stadtsparkasse Dessau,Sachsen-Anhalt,0.19764889,458 T. €,229.0,229 T. €,"723,8 Mio. €",194,194.0,2
Sparkasse Oberpfalz Nord,Bayern,0.3722874486,462 T. €,231.0,231 T. €,"1,4 Mrd. €",419,419.0,2
Kreis- und Stadtsparkasse Wasserburg am Inn,Bayern,0.2992834452,462 T. €,231.0,231 T. €,"981,7 Mio. €",247,247.0,2
Sparkasse Elmshorn,Schleswig-Holstein,0.256451344,465 T. €,232.5,"232,5 T. €","861,2 Mio. €",203,203.0,2
Sparkasse Bühl,Baden-Württemberg,0.225456431,469 T. €,234.5,"234,5 T. €","811,8 Mio. €",181,181.0,2
Sparkasse Neuburg-Rain,Bayern,0.2679128282,472 T. €,236.0,236 T. €,"916,2 Mio. €",261,261.0,2
Kreissparkasse Stendal,Sachsen-Anhalt,0.310908589,474 T. €,237.0,237 T. €,"1,2 Mrd. €",309,309.0,2
Sparkasse Gronau,Nordrhein-Westfalen,0.1181400419,474 T. €,237.0,237 T. €,"452,4 Mio. €",122,122.0,2
Sparkasse Ostunterfranken,Bayern,0.3313982914,476 T. €,238.0,238 T. €,"1,2 Mrd. €",316,316.0,2
Sparkasse Wetzlar,Hessen,0.621772378,479 T. €,239.5,"239,5 T. €","2,1 Mrd. €",585,585.0,2
Sparkasse Burbach-Neunkirchen,Nordrhein-Westfalen,0.1372336392,480 T. €,240.0,240 T. €,"537,4 Mio. €",121,121.0,2
Kreissparkasse Garmisch-Partenkirchen,Bayern,0.2855364084,481 T. €,240.5,"240,5 T. €","1,1 Mrd. €",309,309.0,2
Rhön-Rennsteig-Sparkasse,Thüringen,0.495385706,482 T. €,241.0,241 T. €,"1,6 Mrd. €",472,472.0,2
Sparkasse Meschede,Nordrhein-Westfalen,0.159747226,491 T. €,245.5,"245,5 T. €","606,8 Mio. €",151,151.0,2
Stadt-Sparkasse Haan,Nordrhein-Westfalen,0.178359781,"491,1 T. €",245.5475,"245,5 T. €",673 Mio. €,131,131.0,2
Verbundsparkasse Emsdetten-Ochtrup,Nordrhein-Westfalen,0.232184853,"491,4 T. €",245.7,"245,7 T. €","792,8 Mio. €",214,214.0,2
Bordesholmer Sparkasse AG,Schleswig-Holstein,0.201244632,492 T. €,246.0,246 T. €,"713,1 Mio. €",155,155.0,2
Stadtsparkasse Lengerich,Nordrhein-Westfalen,0.1078483368,493 T. €,246.5,"246,5 T. €","414,3 Mio. €",108,108.0,2
Sparkasse Eichstätt,Bayern,0.2735556994,499 T. €,249.5,"249,5 T. €",1 Mrd. €,260,260.0,2
Stadtsparkasse Emmerich-Rees,Nordrhein-Westfalen,0.218463563,499 T. €,249.5,"249,5 T. €","795,9 Mio. €",209,209.0,2
Sparkasse Waldeck-Frankenberg,Hessen,0.5536279416,500 T. €,250.0,250 T. €,2 Mrd. €,517,517.0,2
Sparkasse Odenwaldkreis,Hessen,0.42780837,503 T. €,251.5,"251,5 T. €","1,5 Mrd. €",407,407.0,2
Kreissparkasse Nordhausen,Thüringen,0.294538454,505 T. €,252.5,"252,5 T. €","1,1 Mrd. €",252,252.0,2
Sparkasse Bad Kissingen,Bayern,0.3974799784,506 T. €,253.0,253 T. €,"1,4 Mrd. €",370,370.0,2
Sparkasse Dillenburg,Hessen,0.353921265,506 T. €,253.0,253 T. €,"1,2 Mrd. €",360,360.0,2
Sparkasse im Landkreis Cham,Bayern,0.4349825043,512 T. €,256.0,256 T. €,"1,5 Mrd. €",379,379.0,2
Stadtsparkasse Gladbeck,Nordrhein-Westfalen,0.208738142,512 T. €,256.0,256 T. €,"744,9 Mio. €",211,211.0,2
