,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
131,Sparkasse Bad Neustadt a.d. Saale,Bayern,3383420630.4,426000.0,213000.0,"1,2 Mrd. €",318.0,2.0
132,Kreissparkasse Saalfeld-Rudolstadt,Thüringen,3136961090.0,612000.0,204000.0,"1,2 Mrd. €",302.0,3.0
133,Sparkasse Ostunterfranken,Bayern,3313982914.0,476000.0,238000.0,"1,2 Mrd. €",316.0,2.0
135,Sparkasse Hochsauerland,Nordrhein-Westfalen,2998899100.0,606000.0,303000.0,"1,2 Mrd. €",305.0,2.0
136,Sparkasse Arnsberg-Sundern,Nordrhein-Westfalen,3317641700.0,616000.0,308000.0,"1,1 Mrd. €",286.0,2.0
137,Stadtsparkasse Bottrop,Nordrhein-Westfalen,3294416500.0,667000.0,333500.0,"1,2 Mrd. €",309.0,2.0
139,Kreissparkasse Gelnhausen,Hessen,3187248730.0,401000.0,190952.38095238095,"1,1 Mrd. €",320.0,2.1
141,Kreis- und Stadtsparkasse Dillingen,Bayern,3517496441.0,572000.0,286000.0,"1,2 Mrd. €",381.0,2.0
142,Sparkasse Märkisches Sauerland Hemer-Menden,Nordrhein-Westfalen,3207261098.0,613000.0,306500.0,"1,2 Mrd. €",274.0,2.0
143,Sparkasse Staufen-Breisach,Baden-Württemberg,3433490580.0,558000.0,279000.0,"1,2 Mrd. €",304.0,2.0
144,Sparkasse Gummersbach-Bergneustadt,Nordrhein-Westfalen,3411786870.0,669500.0,334750.0,"1,2 Mrd. €",281.0,2.0
145,Sparkasse Attendorn-Lennestadt-Kirchhundem,Nordrhein-Westfalen,2922481530.0,568200.0,284100.0,"1,1 Mrd. €",240.0,2.0
146,Kreissparkasse Stendal,Sachsen-Anhalt,3109085890.0,474000.0,237000.0,"1,2 Mrd. €",309.0,2.0
148,Sparkasse Kleve,Nordrhein-Westfalen,3337916810.0,549000.0,274500.0,"1,3 Mrd. €",335.0,2.0
