sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Kreissparkasse Stendal,"39606,39596,39517,39524,39579,39576,39615,39629,39539,39599,39590",Sachsen-Anhalt,0.310908589,474 T. €,237.0,237 T. €,"1,2 Mrd. €",309,309.0,2
Sparkasse Ostunterfranken,"97522,97461,97475,97500,96190,96181,96184,97519,96188,97494,96166,96106,97503,96176,97539,97491,97531,97478,97486,97496,97514,96151,97483,96126,97437",Bayern,0.3313982914,476 T. €,238.0,238 T. €,"1,2 Mrd. €",316,316.0,2
Sparkasse Wetzlar,"35583,35585,35649,35444,35630,35578,35625,35576,35606,35633,35614,35582,35586,35647,35619,35638,35584,35435,35581,35644,35579,35641,35428,35580",Hessen,0.621772378,479 T. €,239.5,"239,5 T. €","2,1 Mrd. €",585,585.0,2
Sparkasse Burbach-Neunkirchen,"57299,57290",Nordrhein-Westfalen,0.1372336392,480 T. €,240.0,240 T. €,"537,4 Mio. €",121,121.0,2
Kreissparkasse Garmisch-Partenkirchen,"82445,82496,82467,82475,82438,82487,82481,82497,82493,82490,82488,82494,82491,82499,82433,82441,82442",Bayern,0.2855364084,481 T. €,240.5,"240,5 T. €","1,1 Mrd. €",309,309.0,2
Rhön-Rennsteig-Sparkasse,"98597,98596,98590,98574,98593,98617,98547,98639,98631,98559,98554,98527,98634,98529,98530,98528,98544,98587",Thüringen,0.495385706,482 T. €,241.0,241 T. €,"1,6 Mrd. €",472,472.0,2
Sparkasse Meschede,"59889,59872",Nordrhein-Westfalen,0.159747226,491 T. €,245.5,"245,5 T. €","606,8 Mio. €",151,151.0,2
Verbundsparkasse Emsdetten-Ochtrup,"48607,48282",Nordrhein-Westfalen,0.232184853,"491,4 T. €",245.7,"245,7 T. €","792,8 Mio. €",214,214.0,2
Bordesholmer Sparkasse AG,"24644,25596,24247,24220,24582,24625,24254,25572,24113,24241,25594,24111",Schleswig-Holstein,0.201244632,492 T. €,246.0,246 T. €,"713,1 Mio. €",155,155.0,2
Stadtsparkasse Lengerich,49525,Nordrhein-Westfalen,0.1078483368,493 T. €,246.5,"246,5 T. €","414,3 Mio. €",108,108.0,2
Sparkasse Eichstätt,"85095,85131,85125,91809,85137,91804,92339,85113,85122,85114,85110,85135,85072,85128,85111,85132,85116,91795",Bayern,0.2735556994,499 T. €,249.5,"249,5 T. €",1 Mrd. €,260,260.0,2
Stadtsparkasse Emmerich-Rees,"46446,46459",Nordrhein-Westfalen,0.218463563,499 T. €,249.5,"249,5 T. €","795,9 Mio. €",209,209.0,2
Sparkasse Waldeck-Frankenberg,"35066,34508,34549,35110,34477,34497,34519,34537,35104,34471,35099,34454,34516,35119,35285,34513,35114,34474",Hessen,0.5536279416,500 T. €,250.0,250 T. €,2 Mrd. €,517,517.0,2
Sparkasse Odenwaldkreis,"64750,64753,64743,64754,64732,64756,64711,64720,64757,64407,64739,64385,64747,64759",Hessen,0.42780837,503 T. €,251.5,"251,5 T. €","1,5 Mrd. €",407,407.0,2
Kreissparkasse Nordhausen,"99759,99765,99752,99735,99734,99755,99768,99762",Thüringen,0.294538454,505 T. €,252.5,"252,5 T. €","1,1 Mrd. €",252,252.0,2
Sparkasse Bad Kissingen,"97714,97708,97705,97517,97688,97762,97717,97799,97711,97729,97702,97769,97789,97727,97725,97723,97772,97792,97720,97779,97786,97795,97797",Bayern,0.3974799784,506 T. €,253.0,253 T. €,"1,4 Mrd. €",370,370.0,2
Sparkasse Dillenburg,"35713,35768,35767,35745,35689,35759,35683,35716,35685,35708,35690,35764,35687,35684,35753,35756,35686,35688",Hessen,0.353921265,506 T. €,253.0,253 T. €,"1,2 Mrd. €",360,360.0,2
Sparkasse im Landkreis Cham,"93185,93499,93473,93494,93194,93458,93488,93453,93477,93476,93491,93449,93485,93466,93426,93455,93489,93437,93468,93464,93486,93192,93495,93479,93474,93462,93480,93167,92444,93444,93413",Bayern,0.4349825043,512 T. €,256.0,256 T. €,"1,5 Mrd. €",379,379.0,2
Stadtsparkasse Gladbeck,"45964,45968,45966",Nordrhein-Westfalen,0.208738142,512 T. €,256.0,256 T. €,"744,9 Mio. €",211,211.0,2
Sparkasse Bergkamen-Bönen,"59192,59199",Nordrhein-Westfalen,0.156127353,533 T. €,266.5,"266,5 T. €","585,4 Mio. €",109,109.0,2
Sparkasse Radevormwald-Hückeswagen,"42477,42499",Nordrhein-Westfalen,0.160710846,"533,9 T. €",266.95,"266,9 T. €","536,8 Mio. €",156,156.0,2
Sparkasse Freising,"85417,85356,85402,85414,85777,85376,85395,85375,85406,85411,85354,85386,85391",Bayern,0.3854066561,535 T. €,267.5,"267,5 T. €","1,3 Mrd. €",358,358.0,2
