sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Weser-Elbe Sparkasse,"27612,27607,27572,27624,21770,27574,27628,21785,27616,21776,27619,27570,21789,21745,27639,21762,21763,21782,21756,27578,21787,21769,21772,21784,27576,27568,21755,27580,21775,21781,21765",Niedersachsen,1.1635728,"1,3 Mio. €",446.3333333333333,"446,3 T. €",4 Mrd. €,976,976.0,3
Erzgebirgssparkasse,"09456,09221,08309,09579,09392,09366,09423,09376,09430,08280,09387,08304,09518,09477,09235,09509,08328,09439,08289,09380,08349,09548,08301,08297,08344,09427,08340,09488,09385,09526,08352,08324,09405,09419,09437,09487,09471,09434,08294,08315,09390,09496,09468,09429,08321,09465,09394,09432,09514,08359,09484,09481,09474,09399",Sachsen,1.107913448,"1,3 Mio. €",449.6666666666667,"449,7 T. €","4,2 Mrd. €",1091,1091.0,3
Sparkasse Krefeld,"47802,41749,47839,41751,47800,47661,47929,47877,41379,41747,47799,47647,41334,47509,47608,41372,47918,47804,47809,47906,47829,41366,41748,47798,47669,47805,47807,47803",Nordrhein-Westfalen,2.281993233092,"1,3 Mio. €",449.68,"449,7 T. €","8,2 Mrd. €",1819,1819.0,3
Sparkasse Karlsruhe Ettlingen,"68794,76351,76139,76297,76307,76337,76228,76133,76661,76227,76189,76316,76356,76149,76359,76185,76137,76344,76287,76275,76135,76706,76676,76229,76131,76187,76199,76327",Baden-Württemberg,2.0860387954,"1,5 Mio. €",372.75,"372,8 T. €","7,2 Mrd. €",1614,1614.0,4
Sparkasse Mainfranken Würzburg,"97282,97299,97355,97753,97846,97289,97078,97450,97337,97080,97259,97842,97241,97276,97084,97082,97279,97791,97816,97334,97237,97199,97775,97828,97848,97794,97320,97892,97273,97239,97072,97209,97859,97234,97340,96160,97232,97778,97243,97855,97283,97286,97843,97845,97280,97256,97342,97837,97851,97854,97244,97204,97773,97262,97291,97907,97857,97833,97228,97070,97353,97288,97297,97776,97346,97785,97271,97292,97249,97294,97359,97230,97246,97350,97836,97250,97318,97268,97783,97074,97222,97076,97225,97348,97780,97788,97236,97267,97255,97277,97840,97270,97261,97849,97357,97782,97737,97295,97852,97218,97839,97253,97834,97252,97332,97247,97265,97285,97274,97264",Bayern,2.1809455971,"1,5 Mio. €",376.25,"376,2 T. €","7,2 Mrd. €",1803,1803.0,4
Sparkasse Bochum,"44793,44809,44791,44801,44892,44879,44866,44797,44869,44795,44789,44787,44867,44799,44805,44894,44803,44807",Nordrhein-Westfalen,1.698608182903,"1,5 Mio. €",504.3333333333333,"504,3 T. €","5,9 Mrd. €",1219,1219.0,3
Sparkasse Neuss,"41466,40670,40667,41564,41540,41468,41464,41470,41460,41516,41569,41515,41352,40668,41363,41539,41469,41541,41517,41472,41542,41462",Nordrhein-Westfalen,1.7722486205,"1,5 Mio. €",378.95,"378,9 T. €","6,3 Mrd. €",1301,1301.0,4
Kreissparkasse Mittelsachsen,"09619,09232,09669,09633,09569,09634,09600,09244,09603,09629,09557,09217,09328,09573,09322,09544,09618,09599,09577,09326,09638,09236,09661,09306,09627,09648,09575,09241,09249,09623",Sachsen,0.8109155967,"1,5 Mio. €",384.5,"384,5 T. €",3 Mrd. €,631,631.0,4
Stadtsparkasse Wuppertal,"42115,42399,42117,42287,42107,42289,42105,42349,42111,42283,42119,42279,42285,42103,42369,42327,42281,42389,42275,42329,42113,42277,42109",Nordrhein-Westfalen,1.9660949323,"1,6 Mio. €",519.0,519 T. €,"6,9 Mrd. €",1384,1384.0,3
Mittelbrandenburgische Sparkasse in Potsdam,"16556,16540,15913,14929,14467,16767,16766,14669,14776,14770,15749,14532,14558,15738,14480,14727,14542,14774,14476,15907,15868,14621,14913,15837,14823,14793,14513,15806,14548,14772,14552,14656,16548,14806,14797,14550,16567,14612,15936,14979,14715,14959,15745,14624,14641,15938,15712,16775,14473,16559,15834,14662,15827,15711,14827,14547,14822,15831,16798,14482,15741,14974,15732,14828,14798,14943,15746,16547,14728,14789,15838,15713,15926,16761,14712,14469,16515,14478,16727,16792,12529,14471,15754,15910",Brandenburg,2.896151972698,"1,6 Mio. €",390.0,390 T. €,11 Mrd. €,1683,1683.0,4
Sparkasse Vest Recklinghausen,"45731,45701,45699,45665,45711,44579,45663,46286,45739,44577,45772,46284,46282,44581,44575,45768,45657,45659,45770,45661",Nordrhein-Westfalen,1.605595003,"1,6 Mio. €",436.3387978142076,"436,3 T. €","5,7 Mrd. €",1356,1356.0,"3,66"
Ostsächsische Sparkasse Dresden,"01259,01127,01900,01477,01796,01454,01219,01731,01257,01099,01936,02979,01139,01458,01723,01737,01896,01328,02997,01829,01156,01279,01844,01705,01217,01734,01129,01159,01816,01768,01762,01187,01728,01237,01773,01776,01738,01307,01109,01855,01097,01774,02991,02994,02999,01277,01833,01309,01824,01069,02977,01778,01920,01809,01157,01847,01819,01108,01465,01326,01067,01744,01917,01324,01848,01825,01189,01814,01239,01169",Sachsen,3.2078108515,"1,6 Mio. €",535.3333333333334,"535,3 T. €","11,9 Mrd. €",1799,1799.0,3
Kreissparkasse Ludwigsburg,"74321,71696,74385,74369,71672,74392,70806,74372,74395,70825,71636,74394,71726,74366,71282,71679,71686,71711,71665,74391,74399,71638,71640,71563,71723,71642,71732,71701,71735,74343,71254,71739,71706,71729,71691,71634,70839,74376,74354,74379,74357",Baden-Württemberg,2.64454144011,"1,6 Mio. €",535.6666666666666,"535,7 T. €","9,8 Mrd. €",1802,1802.0,3
Stadt- und Kreissparkasse Leipzig,"04657,04349,04552,04509,04103,04109,04880,04107,04420,04356,04328,04849,04523,04249,04654,04862,04889,04416,04155,04318,04209,04442,04861,04277,04299,04159,04279,04229,04105,04347,04769,04357,04860,04758,04838,04289,04177,04179,04451,04571,04316,04539,04886,04207,04178,04157,04329,04519,04158,04315,04129,04567,04205,04319,04874,04463,04288,04317,04779,04275,04565,04643,04435,04575,04564,04774,04655,04425",Sachsen,2.340156841398,"1,6 Mio. €",542.3333333333334,"542,3 T. €","8,8 Mrd. €",1663,1663.0,3
Landessparkasse zu Oldenburg,"26954,26689,26935,27755,27809,49401,26349,26419,49699,26188,27793,27801,27804,27751,49377,26160,49413,26655,26919,26683,26434,26219,27777,27753,49451,49429,49632,26939,26931,27749,26486,26937,49439,49681,26316,26969,26197,49685,27243,49456,26203,26129,26122,26133,49434,26215,26441,26135,26452,26169,49692,26131,26936,26676,26209,49696,49424,26121,26345,49393,26123,27798,49661,49624,26180,26340,49688,26125,26127",Niedersachsen,2.36254,"1,6 Mio. €",411.75,"411,8 T. €","8,4 Mrd. €",1677,1677.0,4
Sparkasse Rhein Neckar Nord,"68239,68169,68526,68161,69514,69469,69198,68165,68163,68542,69502,68159,68229,68309,69493,68535,68549,68259,68307,68167,68305,68199,68219",Baden-Württemberg,1.2073845396,"1,6 Mio. €",471.14285714285717,"471,1 T. €","4,6 Mrd. €",941,941.0,"3,5"
Sparkasse Nürnberg,"90459,90475,90431,91247,90449,90482,91207,91220,90419,91217,90559,91245,90441,90451,90571,90427,91233,90425,91224,90489,90455,90408,90478,91236,90491,91238,90473,90453,91230,90429,91239,91244,90439,90469,91227,90402,90552,90610,90592,90443,90403,91235,90461,90409,91242,90607,90411,90480,91241,90537,90471,90518",Bayern,3.0578534734700002,"1,7 Mio. €",425.0,425 T. €,"10,3 Mrd. €",2211,2211.0,4
Sparkasse Paderborn-Detmold,"33104,33165,32832,34431,32816,33098,32758,33142,33175,33178,33102,33100,33189,32760,33161,32756,33154,33181,32805,33184,32676,32791,32683,33106",Nordrhein-Westfalen,1.8131573051,"1,8 Mio. €",441.25,"441,2 T. €","6,5 Mrd. €",1546,1546.0,4
Sparkasse Westmünsterland,"46348,48727,46354,48712,59394,46325,48720,48301,48249,48739,48653,48308,46419,46342,59387,48703,46359,59399,46414,48329,59348,48624,48619,48683,48691,48734",Nordrhein-Westfalen,1.7797937923,"1,8 Mio. €",446.95,"446,9 T. €","6,4 Mrd. €",1463,1463.0,4
Förde Sparkasse,"24799,24238,24159,24116,24809,24118,24245,24145,24223,24106,24143,24811,24366,24354,24326,24358,24148,24340,24248,24369,24814,24601,24306,24363,24107,24364,24147,24367,24808,24217,24816,24398,24637,24361,24161,24787,24351,24806,24357,24256,24109,24214,24251,24321,24222,24244,24103,24253,24226,24149,24620,24329,24229,24327,24119,24211,24800,24250,24114,24257,24360,24235,24232,24105,24146",Schleswig-Holstein,1.7359906425,"1,8 Mio. €",454.0,454 T. €,"6,5 Mrd. €",1417,1417.0,4
Nassauische Sparkasse,"65344,65626,65399,56348,65201,65366,65346,65193,65582,56355,65232,56133,57520,56132,56346,65629,56379,56370,56130,65396,65385,65199,56349,65375,56377,65347,56338,65191,65623,65183,65321,65197,65391,56341,65558,65203,65187,65624,56357,65205,65343,65195,65189,56112,65529,65326,65329,65307,56237,65388,65207,65510,56368,65185,56340,65345",Hessen,3.33707516809,"1,8 Mio. €",461.75,"461,8 T. €","10,8 Mrd. €",1901,1901.0,4
Stadtsparkasse Düsseldorf,"40789,40595,40229,40210,40213,40231,40211,40545,40589,40468,40477,40225,40237,40221,40547,40472,40629,40489,40479,40474,40549,40227,40235,40233,40591,40219,40217,40476,40627,40470,40212,40625,40223,40599,40593,40239,40215,40597",Nordrhein-Westfalen,3.206438536273,"1,9 Mio. €",487.04897959183677,487 T. €,"11,5 Mrd. €",2268,2268.0,"3,92"
Kreissparkasse München Starnberg Ebersberg,"85622,82343,82008,85661,85598,82024,85764,85635,85643,85521,85560,83565,85540,85653,85625,82069,82054,85609,82031,85630,85640,82327,82065,83550,82152,83553,85591,82205,85604,85567,85617,85667,85551,85652,82349,82346,82049,82131,82064,85658,82166,85748,85662,82319,85646,82041,82234,85774,85614,82211,85570,85599,82266,82402,85737,85716,85649,82340,85579,85665,82067,82061,82229,82237,85586",Bayern,2.81393,"1,9 Mio. €",484.5,"484,5 T. €","10,2 Mrd. €",1801,1801.0,4
Stadtsparkasse Mönchengladbach,"41061,41236,41169,41179,41238,41069,41065,41063,41068,41239,41189,41199,41066",Nordrhein-Westfalen,1.3080200174,2 Mio. €,390.8612,"390,9 T. €","4,6 Mrd. €",964,964.0,5
Stadtsparkasse Dortmund,"44379,44319,44227,44225,44141,44289,44229,44329,44135,44147,44149,44143,44359,44357,44309,44328,44269,44339,44145,44263,44388,44265,44287,44267,44139,44137,44369",Nordrhein-Westfalen,2.3321649049,2 Mio. €,497.0,497 T. €,"8,3 Mrd. €",1823,1823.0,4
Sparkasse Duisburg,"47059,47229,47228,47249,47058,47198,47138,47167,47269,47226,47239,47475,47055,47053,47169,47259,47137,47139,47057,47199,47178,47119,47279,47051,47179,47166",Nordrhein-Westfalen,1.5249140971,2 Mio. €,409.4,"409,4 T. €","5,4 Mrd. €",1430,1430.0,5
Sparkasse Essen,"45307,45279,45355,45329,45143,45141,45276,45136,45239,45219,45257,45139,45133,45131,45138,45149,45357,45289,45144,45127,45359,45130,45145,45134,45309,45327,45259,45147,45277,45356,45128,45326",Nordrhein-Westfalen,2.1855912258,"2,1 Mio. €",521.725,"521,7 T. €",8 Mrd. €,1627,1627.0,4
Sparkasse Münsterland Ost,"48145,59227,59302,48161,48147,59320,48361,48151,48351,48165,48153,48159,48317,48155,48163,48149,48291,48346,48167,48336,48143,48324,59229,48231,48157",Nordrhein-Westfalen,2.40404,"2,2 Mio. €",556.0,556 T. €,"8,8 Mrd. €",1437,1437.0,4
Sparkasse Hannover,"30629,30982,31311,30165,30457,30938,30163,30559,30175,30625,30989,30177,30655,31319,30657,30966,30459,30851,30455,30419,31275,30823,31832,30826,30161,30853,30453,31535,30171,30880,30179,30449,30669,30173,30900,30926,30167,30952,30521,30169,30451,30627,30855,30539,30974,30916,30659,30827,30519,30159",Niedersachsen,4.0034857866,"2,2 Mio. €",613.6612021857924,"613,7 T. €","13,6 Mrd. €",2255,2255.0,"3,66"
Sparkasse Vorderpfalz,"67069,67346,67373,67165,67240,67166,67459,67065,67136,67126,67133,67259,67245,67071,67059,67105,67258,67134,67063,67112,67122,67354,67125,67067,67376,67061,67141,67117,67127,67374",Rheinland-Pfalz,1.5824203628,"2,4 Mio. €",396.3333333333333,"396,3 T. €","5,7 Mrd. €",1112,1112.0,6
Die Sparkasse Bremen AG,"28359,28215,28237,28239,28307,28217,28213,28325,28211,28755,28357,28717,28327,28757,28199,28279,28219,28759,28355,28777,28203,28197,28309,28209,28277,28195,28201,28205,28779,28259,28719,28207,28329",Bremen,3.094575238624,"2,4 Mio. €",600.0,600 T. €,11 Mrd. €,1537,1537.0,4
Stadtsparkasse München,"80333,81245,81735,81545,81371,80797,81479,80636,81241,80992,80539,80798,80993,80937,81827,81673,81671,81737,80809,81379,81667,81925,80639,81675,81375,80331,80804,80687,80802,81549,81825,81927,80538,81539,81679,80469,81377,81243,80337,80935,80939,80933,80807,80805,80339,81677,81829,81369,80637,80686,81249,80689,81669,81739,81373,81476,80634,80803,81541,81475,81543,80995,81477,81547,80997,80796,80799",Bayern,4.6918148,"2,5 Mio. €",490.2,"490,2 T. €","16,4 Mrd. €",2742,2742.0,5
Frankfurter Sparkasse,"60549,60435,65936,65933,60598,65931,60322,60437,65934,60389,60316,60323,60596,60438,60327,60314,60486,60386,60433,60599,60325,60311,60388,60488",Hessen,8.0,"2,5 Mio. €",613.0,613 T. €,"17,7 Mrd. €",1797,1797.0,4
Sparkasse KölnBonn,"51143,50672,53177,51109,53127,53129,50969,53123,50765,50968,51107,50935,50999,50733,50737,51061,51069,53179,50859,51063,50937,50931,50674,50996,53173,53121,50678,50933,50823,53227,50679,53229,50997,51147,50825,53113,50858,50735,53115,50676,53111,50739,50827,53225,51103,51149,50668,50829,53119,50939,51105,53117,51067,53175,51145,50767,53125",Nordrhein-Westfalen,7.54327605925,"2,6 Mio. €",512.76,"512,8 T. €","27,4 Mrd. €",4536,4536.0,5
Sparkasse Aachen,"52222,52499,52076,52072,52156,52066,52080,52159,52224,52146,52223,52078,52134,52070,52062,52477,52068,52249,52074,52064,52152",Nordrhein-Westfalen,3.1178573000200003,"2,7 Mio. €",544.8,"544,8 T. €",10 Mrd. €,2071,2071.0,5
Kreissparkasse Köln,"51465,53859,53844,50226,51766,50171,51515,53842,50259,51467,51399,50389,50127,53913,51545,50189,53797,53359,42799,53773,51597,51688,53819,51519,51427,53721,50321,53340,53840,51789,51491,53804,51429,50170,50126,53332,51469,50181,53783,53809,50374,53347,53343,51570,51580,51709,53757,50129,50354,53639,51503,50169",Nordrhein-Westfalen,6.5876078123,"3,5 Mio. €",704.28,"704,3 T. €","23,1 Mrd. €",4512,4512.0,5
Berliner Sparkasse,"10997,14059,10117,13057,13059,10829,13187,12349,13587,13089,13583,14165,12277,12307,12621,10247,12355,13591,13055,13359,10319,14050,10587,10789,10551,12057,10318,13437,10553,13159,14057,13465,12279,12526,13409,14052,10969,10559,12683,10589,13595,13469,10178,14195,12207,14109,10623,10405,13347,13593,10245,12045,14199,12157,12437,12107,13503,12587,10119,10115,13581,10709,12359,10409,10243,13507,12101,12203,12309,13158,10317,10707,12524,10249,10435,12043,14197,12161,12489,10367,12163,12435,13627,12103,12589,14129,12205,10719,13355,12049,12629,12055,13599,14055,12681,12051,12687,10555,12487,12053,13505,10717,13086,13403,13435,10825,10315,10965,12159,14163,10777,10783,10557,10715,10963,12099,10365,12557,13405,10627,10779,10585,10999,12059,10781,10437,12351,10625,12555,12459,13509,13629,14053,14193,10787,10629,12679,12169,12685,13051,12105,14169,12165,12247,13351,14089,13597,12167,12439,12627,12109,13439,10179,13125,13585,13407,13467,10711,10967,14167,12689,13189,12305,12619,13156,10823,12347,13129,10713,10827,12623,13088,12209,13053,10439,10961,13353,12047,12357,13357,13349,13127,12353,12249,10785,12559,10407,12527,13589,10369",Berlin,8.0,"3,9 Mio. €",651.8333333333334,"651,8 T. €","57,4 Mrd. €",4073,4073.0,6
Hamburger Sparkasse AG,"22455,20253,22761,22309,22765,20249,22307,22297,21035,20097,20537,22087,21033,20146,22337,22043,22143,22587,21073,20354,22529,22559,22085,22081,22589,22453,22607,22175,22299,20535,27499,22041,22159,22301,22391,22049,22083,22605,22769,22846,22335,22111,21444,22609,21077,20359,20355,22179,22415,22147,22457,20251,20457,22395,22303,21029,22525,22119,20539,21465,20459,21109,22047,20259,22527,20148,22417,22397,22523,22763,22399,21147,20149,22177,22459,20255,22767,22549,22419,21037,22339,22045,20357,20099,22149,22305,22115,22547,21031,21449,22359,20095,21107,21079,22117,22393,20257,21075,22089,20144",Hamburg,8.0,"4,2 Mio. €",853.6585365853659,"853,7 T. €","41,9 Mrd. €",5358,5358.0,"4,92"
